title,start,end,location,date,published
Co-Host for Senator Fontana Fundraiser,17:30:00,19:30:00,"LeMont Restaurant, 1114 Grandview Avenue, Pittsburgh, PA 15211",2/26/2014,2/26/2014
Working in Office,10:00:00,12:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",2/27/2014,2/27/2014
"On Air with County Executive Rich Fitzgerald, KDKA Mike Pintek Show",13:00:00,18:00:00,"5 Foster Plaza, 651 Holiday Drive, Pittsburgh, PA 15220",2/27/2014,2/27/2014
Working in office,10:00:00,12:00:00,"Mayor's office, 414 Grant Street, Pittsburgh, PA 15219",2/27/2014,2/27/2014
Fundraiser for County Executive Rich Fitzgerald,18:00:00,18:30:00,"Omni William Penn Hotel, 530 William Penn Place, Pittsburgh, PA 15219",2/27/2014,2/27/2014
Iron Lung Hockey League Game,22:15:00,23:15:00,"Olympic Arena, 7600 Grand Avenue, Pittsburgh, PA 15225",2/27/2014,2/27/2014
Meeting with Consul General of Slovenia,10:00:00,10:30:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",2/28/2014,2/28/2014
Working in Office,10:30:00,11:30:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",2/28/2014,2/28/2014
"Meeting with PA Bio President, Vice President, and Senior Director",11:30:00,12:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",2/28/2014,2/28/2014
Photo with artist and writer atBlack History Month Exhibit,12:30:00,12:35:00,"City-County Building Lobby, 414 Grant Street, Pittsburgh, PA 15219",2/28/2014,2/28/2014
"Meeting with Elwin Green, Homewood Nation",13:00:00,13:30:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",2/28/2014,2/28/2014
Phone Interview with Sports Illustrated Kids,13:45:00,14:00:00,414 Grant St.,2/28/2014,2/28/2014
Call with Mayor DeStefano,14:15:00,14:45:00,414 Grant St.,2/28/2014,2/28/2014
Tour of District 2 with Councilwoman Smith and Executive Team,15:00:00,17:00:00,414 Grant St.,2/28/2014,2/28/2014
Speaking at Temple Sinai service,20:00:00,20:30:00,"Temple Sinai,5505 Forbes Ave, Pittsburgh, PA 15217",2/28/2014,2/28/2014
Call with Governor Corbett ,9:30:00,9:45:00,,3/1/2014,3/1/2014
"USW Ceremony Executive Board taking Oath of Office, giving welcoming remarks",14:00:00,15:00:00,"Sheraton Station Square Hotel, 300 W Station Square Dr, Pittsburgh, PA 15219",3/1/2014,3/1/2014
Allegheny County Democratic Committee's Annual Jefferson-Jackson Luncheon ,15:30:00,16:30:00,"IBEW Local 5, 5 Hot Metal St, Pittsburgh, PA 15203",3/1/2014,3/1/2014
"Greater Pittsburgh Community Food Bank Empty Bowls Dinner \Celebrity Soup Servers\"" """,15:00:00,15:30:00,"Rodef Shalom Congregation, 4905 Fifth Ave, Pittsburgh, PA 15213",3/2/2014,3/1/2014
"PFO and Highmark Blue Cross Blue Shield Present \Lights! Glamour! Action!\"" Oscar celebration""",18:00:00,19:00:00,"Heinz Field, 100 Art Rooney Ave, Pittsburgh, PA 15212",3/2/2014,3/1/2014
Mayor Council Weekly Meeting,10:00:00,11:00:00,"Mayor&#39;s conference room, 414 Grant Street, Pittsburgh, PA 15219",3/3/2014,3/3/2014
Meeting with Dr. Grant-Overton and Jim Overton,11:00:00,11:30:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/3/2014,3/3/2014
Working in Office,11:30:00,14:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/3/2014,3/3/2014
Meeting with Junior Achievement,14:00:00,14:30:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/3/2014,3/3/2014
Flight to DC,16:55:00,18:03:00,414 Grant St.,3/3/2014,3/3/2014
Speaking at National Bike Summit,8:00:00,9:15:00,"Location:Renaissance Downtown Hotel, 999 9th Street Northwest, Washington, DC 20001",3/4/2014,3/4/2014
Returning to Pittsburgh,10:00:00,0:00:00,414 Grant St.,3/4/2014,3/4/2014
Working in Office,14:00:00,18:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/4/2014,3/4/2014
Call into WDVE,8:15:00,8:20:00,414 Grant St.,3/5/2014,3/5/2014
Meeting with Dr. Lane and Nina Esposito-Visgitis,9:00:00,10:00:00,"Mayor&#39;s office, 414 Grant Street, Pittsburgh, PA 15219",3/5/2014,3/5/2014
